"reldenom","egender","ks2aps","region","instype","totpups","ofstedgrade"
"Non-religious","Mixed",27.6,"North West","Community",1087,"Good"
"Non-religious","Mixed",26.7,"North West","Community",1029,"Good"
"Non-religious","Mixed",15,"North West","Community",176,"Outstanding"
"Non-religious","Mixed",4.6,"North West","Community",94,"Outstanding"
"Non-religious","Mixed",NA,"North West","Other",96,"Good"
"Non-religious","Mixed",NA,"North West","Other",42,"Outstanding"
"Non-religious","Mixed",19.7,"North West","Community",36,"Good"
"Non-religious","Mixed",27.9,"North West","Community",749,"Good"
"Religious","Mixed",26.7,"North West","Academy",763,"Good"
"Non-religious","Mixed",26.4,"North West","Community",570,"Requires Improvement"
"Religious","Single-sex",28.5,"North West","Academy",1151,"Inadequate"
"Non-religious","Mixed",26.5,"North West","Academy",685,"Good"
"Non-religious","Mixed",26.7,"North West","Community",1012,"Requires Improvement"
"Non-religious","Mixed",27,"North West","Academy",881,"Inadequate"
"Religious","Single-sex",29.1,"North West","Academy",975,"Outstanding"
"Non-religious","Mixed",27,"North West","Community",906,"Good"
"Non-religious","Mixed",28.4,"North West","Community",729,"Requires Improvement"
"Non-religious","Mixed",27.3,"North West","Community",772,"Outstanding"
"Religious","Mixed",26.6,"North West","Academy",1411,"Requires Improvement"
"Religious","Mixed",28.9,"North West","Voluntary",781,"Good"
"Religious","Mixed",29,"North West","Voluntary",765,"Good"
"Religious","Single-sex",27.6,"North West","Academy",806,"Requires Improvement"
"Non-religious","Mixed",4.2,"North West","Community",64,"Outstanding"
"Non-religious","Mixed",11.1,"North West","Community",105,"Good"
"Religious","Mixed",27.4,"North West","Academy",945,"Outstanding"
"Religious","Single-sex",32.8,"North West","Academy",1233,"Outstanding"
"Religious","Single-sex",32.7,"North West","Academy",1291,"Outstanding"
"Religious","Mixed",27.7,"North West","Academy",1449,"Outstanding"
"Religious","Mixed",27.1,"North West","Voluntary",1099,"Outstanding"
"Religious","Mixed",26.2,"North West","Academy",330,"Good"
"Religious","Single-sex",28.1,"North West","Academy",808,"Good"
"Religious","Single-sex",32,"North West","Academy",1034,"Outstanding"
"Non-religious","Mixed",25.2,"North West","Community",277,"Good"
"Religious","Single-sex",32.1,"North West","Academy",950,"Outstanding"
"Religious","Mixed",26.5,"North West","Voluntary",552,"Requires Improvement"
"Religious","Mixed",32.2,"North West","Academy",1239,"Outstanding"
"Religious","Mixed",27.5,"North West","Foundation",581,"Good"
"Religious","Mixed",31.5,"North West","Foundation",816,"Good"
"Religious","Mixed",27.1,"North West","Foundation",796,"Good"
"Religious","Mixed",32.6,"North West","Academy",925,"Outstanding"
"Religious","Single-sex",27.5,"North West","Academy",833,"Requires Improvement"
"Religious","Mixed",28.9,"North West","Academy",1362,"Good"
"Non-religious","Mixed",NA,"North West","Community",105,"Outstanding"
"Non-religious","Mixed",19.7,"North West","Community",44,"Requires Improvement"
"Non-religious","Mixed",14.2,"North West","Community",148,"Good"
"Non-religious","Mixed",NA,"North West","Other",110,"Good"
"Religious","Mixed",26.8,"North West","Academy",875,"Requires Improvement"
"Religious","Mixed",NA,"North West","Academy",249,"Good"
"Non-religious","Mixed",27.7,"North West","Community",854,"Good"
"Religious","Mixed",28.4,"North West","Academy",971,"Good"
"Non-religious","Mixed",28.2,"North West","Community",954,"Good"
"Religious","Mixed",29,"North West","Voluntary",1283,"Requires Improvement"
"Non-religious","Mixed",28.3,"North West","Academy",1284,"Outstanding"
"Religious","Mixed",27.2,"North West","Foundation",802,"Good"
"Non-religious","Mixed",27.7,"North West","Academy",969,"Outstanding"
"Religious","Mixed",27.3,"North West","Foundation",883,"Good"
"Religious","Mixed",28.6,"North West","Foundation",619,"Requires Improvement"
"Religious","Mixed",29.5,"North West","Voluntary",1223,"Good"
"Religious","Mixed",28.2,"North West","Voluntary",901,"Good"
"Religious","Mixed",29,"North West","Voluntary",1643,"Requires Improvement"
"Religious","Mixed",29.4,"North West","Voluntary",922,"Outstanding"
"Non-religious","Mixed",28,"North West","Community",592,"Good"
"Non-religious","Mixed",29,"North West","Community",1214,"Good"
"Non-religious","Mixed",27.2,"North West","Community",767,"Good"
"Non-religious","Mixed",28.8,"North West","Other",58,"Good"
"Non-religious","Mixed",4.6,"North West","Community",205,"Outstanding"
"Non-religious","Mixed",NA,"North West","Community",64,"Requires Improvement"
"Non-religious","Mixed",19.6,"North West","Community",74,"Good"
"Non-religious","Mixed",11,"North West","Community",158,"Outstanding"
"Religious","Mixed",25.8,"Yorkshire and the Humber","Academy",898,"Inadequate"
"Non-religious","Mixed",26.1,"Yorkshire and the Humber","Community",814,"Inadequate"
"Non-religious","Mixed",27.9,"Yorkshire and the Humber","Community",941,"Good"
"Non-religious","Mixed",26.2,"Yorkshire and the Humber","Community",964,"Requires Improvement"
"Religious","Mixed",27,"Yorkshire and the Humber","Voluntary",1147,"Good"
"Non-religious","Mixed",28.3,"Yorkshire and the Humber","Voluntary",1929,"Good"
"Non-religious","Mixed",27.8,"Yorkshire and the Humber","Community",1151,"Requires Improvement"
"Non-religious","Mixed",29.2,"Yorkshire and the Humber","Community",1600,"Good"
"Non-religious","Mixed",27.7,"Yorkshire and the Humber","Academy",631,"Requires Improvement"
"Non-religious","Mixed",26.3,"Yorkshire and the Humber","Academy",790,"Requires Improvement"
"Non-religious","Mixed",26.5,"Yorkshire and the Humber","Academy",1178,"Requires Improvement"
"Religious","Mixed",27.6,"Yorkshire and the Humber","Academy",709,"Requires Improvement"
"Religious","Mixed",25.4,"Yorkshire and the Humber","Academy",1473,"Inadequate"
"Non-religious","Mixed",27.2,"Yorkshire and the Humber","Academy",718,"Requires Improvement"
"Religious","Mixed",26.9,"Yorkshire and the Humber","Academy",1018,"Inadequate"
"Non-religious","Mixed",27.4,"Yorkshire and the Humber","Academy",1911,"Good"
"Religious","Mixed",28.5,"Yorkshire and the Humber","Academy",1135,"Good"
"Religious","Mixed",27.4,"Yorkshire and the Humber","Academy",1118,"Outstanding"
"Religious","Mixed",28,"Yorkshire and the Humber","Academy",1719,"Outstanding"
"Non-religious","Mixed",26,"Yorkshire and the Humber","Academy",1062,"Requires Improvement"
"Non-religious","Mixed",29,"Yorkshire and the Humber","Academy",1434,"Requires Improvement"
"Religious","Mixed",25.8,"Yorkshire and the Humber","Academy",646,"Good"
"Religious","Mixed",27.9,"Yorkshire and the Humber","Academy",990,"Inadequate"
"Religious","Mixed",27.8,"Yorkshire and the Humber","Academy",1270,"Inadequate"
"Non-religious","Mixed",NA,"Yorkshire and the Humber","Community",101,"Good"
"Non-religious","Mixed",NA,"Yorkshire and the Humber","Other",30,"Good"
"Non-religious","Mixed",NA,"Yorkshire and the Humber","Community",120,"Good"
"Non-religious","Mixed",10.2,"Yorkshire and the Humber","Community",115,"Good"
"Non-religious","Mixed",13.3,"Yorkshire and the Humber","Community",119,"Outstanding"
"Non-religious","Mixed",27.6,"Yorkshire and the Humber","Academy",1627,"Good"
"Non-religious","Mixed",26.7,"Yorkshire and the Humber","Academy",1318,"Good"
"Non-religious","Mixed",25.4,"Yorkshire and the Humber","Community",942,"Inadequate"
"Non-religious","Mixed",26.7,"Yorkshire and the Humber","Academy",1123,"Good"
"Non-religious","Mixed",27.4,"Yorkshire and the Humber","Academy",1027,"Good"
"Religious","Mixed",27.5,"Yorkshire and the Humber","Academy",704,"Outstanding"
"Religious","Mixed",26.7,"Yorkshire and the Humber","Voluntary",642,"Good"
"Non-religious","Mixed",25.7,"Yorkshire and the Humber","Community",875,"Good"
"Non-religious","Mixed",25.2,"Yorkshire and the Humber","Academy",639,"Good"
"Non-religious","Mixed",27.5,"Yorkshire and the Humber","Academy",1546,"Good"
"Non-religious","Mixed",27.7,"Yorkshire and the Humber","Community",1876,"Good"
"Non-religious","Mixed",26.9,"Yorkshire and the Humber","Academy",2104,"Outstanding"
"Non-religious","Mixed",26.4,"Yorkshire and the Humber","Academy",762,"Requires Improvement"
"Non-religious","Mixed",26,"Yorkshire and the Humber","Foundation",1219,"Good"
"Non-religious","Mixed",9.2,"Yorkshire and the Humber","Community",61,"Inadequate"
"Non-religious","Mixed",5,"Yorkshire and the Humber","Community",97,"Good"
"Non-religious","Mixed",7.9,"Yorkshire and the Humber","Community",97,"Good"
"Non-religious","Mixed",18,"Yorkshire and the Humber","Community",87,"Outstanding"
"Non-religious","Mixed",10.7,"Yorkshire and the Humber","Community",104,"Good"
"Non-religious","Mixed",12,"Yorkshire and the Humber","Community",100,"Good"
"Religious","Mixed",26.6,"Yorkshire and the Humber","Academy",1349,"Good"
"Non-religious","Mixed",27.3,"Yorkshire and the Humber","Foundation",1131,"Requires Improvement"
"Non-religious","Mixed",28.7,"Yorkshire and the Humber","Academy",1021,"Good"
"Religious","Mixed",25.4,"Yorkshire and the Humber","Academy",765,"Requires Improvement"
"Non-religious","Mixed",27.6,"Yorkshire and the Humber","Academy",1741,"Good"
"Non-religious","Mixed",25.8,"Yorkshire and the Humber","Academy",977,"Good"
"Religious","Mixed",25.9,"Yorkshire and the Humber","Academy",976,"Good"
"Non-religious","Mixed",28.2,"Yorkshire and the Humber","Community",1611,"Good"
"Non-religious","Mixed",25.3,"Yorkshire and the Humber","Academy",1260,"Good"
"Non-religious","Mixed",26.9,"Yorkshire and the Humber","Academy",1317,"Outstanding"
"Non-religious","Mixed",28.8,"Yorkshire and the Humber","Community",1703,"Good"
"Religious","Mixed",27.9,"Yorkshire and the Humber","Academy",1792,"Good"
"Religious","Mixed",28.9,"Yorkshire and the Humber","Academy",1410,"Outstanding"
"Non-religious","Mixed",24.5,"Yorkshire and the Humber","Academy",791,"Good"
"Religious","Mixed",25,"Yorkshire and the Humber","Academy",923,"Good"
"Religious","Mixed",25.5,"Yorkshire and the Humber","Academy",852,"Requires Improvement"
"Non-religious","Mixed",28.9,"Yorkshire and the Humber","Academy",1277,"Outstanding"
"Non-religious","Mixed",28.2,"Yorkshire and the Humber","Community",837,"Requires Improvement"
"Non-religious","Mixed",28.7,"Yorkshire and the Humber","Academy",1627,"Outstanding"
"Religious","Mixed",28,"Yorkshire and the Humber","Foundation",1291,"Requires Improvement"
"Religious","Mixed",26,"Yorkshire and the Humber","Academy",802,"Inadequate"
"Non-religious","Mixed",14.9,"Yorkshire and the Humber","Community",161,"Good"
"Non-religious","Mixed",17.9,"Yorkshire and the Humber","Community",101,"Good"
"Non-religious","Mixed",19,"Yorkshire and the Humber","Community",99,"Good"
"Non-religious","Mixed",NA,"Yorkshire and the Humber","Other",26,"Outstanding"
"Non-religious","Mixed",7.6,"Yorkshire and the Humber","Community",143,"Outstanding"
"Non-religious","Mixed",6.4,"Yorkshire and the Humber","Community",164,"Outstanding"
"Non-religious","Mixed",26.9,"Yorkshire and the Humber","Academy",1250,"Requires Improvement"
"Non-religious","Mixed",28,"Yorkshire and the Humber","Academy",1622,"Outstanding"
"Non-religious","Single-sex",24.4,"Yorkshire and the Humber","Community",471,"Inadequate"
"Non-religious","Single-sex",25.9,"Yorkshire and the Humber","Academy",1151,"Good"
"Religious","Mixed",28.6,"Yorkshire and the Humber","Voluntary",1790,"Good"
"Religious","Mixed",26,"Yorkshire and the Humber","Academy",1780,"Good"
"Religious","Single-sex",29.5,"Yorkshire and the Humber","Academy",877,"Good"
"Non-religious","Mixed",26.3,"Yorkshire and the Humber","Other",53,"Requires Improvement"
"Religious","Mixed",26.7,"Yorkshire and the Humber","Foundation",1499,"Inadequate"
"Non-religious","Mixed",25.3,"Yorkshire and the Humber","Community",1461,"Inadequate"
"Non-religious","Mixed",26.3,"Yorkshire and the Humber","Academy",1558,"Requires Improvement"
"Non-religious","Mixed",28.7,"Yorkshire and the Humber","Academy",1103,"Good"
"Religious","Mixed",NA,"Yorkshire and the Humber","Academy",702,"Requires Improvement"
"Religious","Mixed",NA,"Yorkshire and the Humber","Academy",337,"Outstanding"
"Religious","Single-sex",26.6,"Yorkshire and the Humber","Academy",674,"Outstanding"
"Non-religious","Mixed",26,"Yorkshire and the Humber","Academy",1831,"Good"
"Religious","Mixed",26.7,"Yorkshire and the Humber","Foundation",1707,"Inadequate"
"Religious","Mixed",26.1,"Yorkshire and the Humber","Voluntary",891,"Good"
"Religious","Mixed",29.7,"Yorkshire and the Humber","Academy",1533,"Good"
"Religious","Mixed",28,"Yorkshire and the Humber","Voluntary",1374,"Good"
"Religious","Mixed",25.5,"Yorkshire and the Humber","Foundation",1066,"Requires Improvement"
"Religious","Mixed",27.3,"Yorkshire and the Humber","Foundation",1597,"Requires Improvement"
"Non-religious","Mixed",25.2,"Yorkshire and the Humber","Academy",962,"Inadequate"
"Non-religious","Mixed",28,"Yorkshire and the Humber","Foundation",1003,"Requires Improvement"
"Non-religious","Mixed",27.1,"Yorkshire and the Humber","Community",983,"Requires Improvement"
"Religious","Mixed",24.8,"Yorkshire and the Humber","Academy",712,"Requires Improvement"
"Religious","Mixed",26.7,"Yorkshire and the Humber","Foundation",1515,"Requires Improvement"
"Non-religious","Mixed",27.1,"Yorkshire and the Humber","Community",1468,"Requires Improvement"
"Religious","Mixed",25.6,"Yorkshire and the Humber","Foundation",1589,"Inadequate"
"Non-religious","Mixed",23.8,"Yorkshire and the Humber","Academy",691,"Requires Improvement"
"Non-religious","Mixed",10,"Yorkshire and the Humber","Community",101,"Good"
"Non-religious","Mixed",NA,"Yorkshire and the Humber","Academy",113,"Outstanding"
"Non-religious","Mixed",0,"Yorkshire and the Humber","Community",95,"Requires Improvement"
"Non-religious","Mixed",20.3,"Yorkshire and the Humber","Community",59,"Good"
"Non-religious","Mixed",8.7,"Yorkshire and the Humber","Academy",217,"Good"
"Religious","Mixed",27.9,"Yorkshire and the Humber","Academy",1434,"Good"
"Religious","Mixed",28.1,"Yorkshire and the Humber","Academy",1685,"Good"
"Non-religious","Mixed",28,"Yorkshire and the Humber","Foundation",1196,"Requires Improvement"
"Religious","Mixed",32.7,"Yorkshire and the Humber","Academy",1061,"Outstanding"
"Non-religious","Mixed",25.4,"Yorkshire and the Humber","Academy",885,"Good"
"Religious","Mixed",27.5,"Yorkshire and the Humber","Academy",1475,"Inadequate"
"Religious","Mixed",32.5,"Yorkshire and the Humber","Academy",1135,"Outstanding"
"Religious","Mixed",25.5,"Yorkshire and the Humber","Foundation",417,"Good"
"Religious","Mixed",27.8,"Yorkshire and the Humber","Academy",1436,"Good"
"Religious","Mixed",27.7,"Yorkshire and the Humber","Academy",1409,"Good"
"Non-religious","Mixed",25.2,"Yorkshire and the Humber","Community",908,"Requires Improvement"
"Non-religious","Mixed",27.7,"Yorkshire and the Humber","Community",682,"Good"
"Religious","Mixed",27.4,"Yorkshire and the Humber","Academy",1666,"Outstanding"
"Non-religious","Mixed",8.7,"Yorkshire and the Humber","Community",138,"Outstanding"
"Non-religious","Single-sex",NA,"Yorkshire and the Humber","Other",51,"Good"
"Religious","Mixed",27.5,"Yorkshire and the Humber","Voluntary",670,"Good"
"Non-religious","Mixed",27.9,"Yorkshire and the Humber","Community",694,"Requires Improvement"
"Non-religious","Single-sex",26.3,"Yorkshire and the Humber","Community",526,"Inadequate"
"Non-religious","Single-sex",26.7,"Yorkshire and the Humber","Academy",1227,"Outstanding"
"Religious","Mixed",29.7,"Yorkshire and the Humber","Academy",689,"Good"
"Non-religious","Mixed",NA,"Yorkshire and the Humber","Academy",547,"Inadequate"
"Religious","Mixed",28.3,"Yorkshire and the Humber","Academy",866,"Good"
"Religious","Mixed",32.5,"Yorkshire and the Humber","Academy",1385,"Outstanding"
"Non-religious","Mixed",29,"Yorkshire and the Humber","Community",1308,"Outstanding"
"Non-religious","Mixed",28.9,"Yorkshire and the Humber","Foundation",1212,"Requires Improvement"
"Non-religious","Mixed",28.8,"Yorkshire and the Humber","Academy",885,"Good"
"Non-religious","Mixed",26.8,"Yorkshire and the Humber","Academy",621,"Requires Improvement"
"Religious","Mixed",28.3,"Yorkshire and the Humber","Academy",1569,"Outstanding"
"Non-religious","Mixed",24.7,"Yorkshire and the Humber","Academy",800,"Outstanding"
"Non-religious","Mixed",27.1,"Yorkshire and the Humber","Community",492,"Good"
"Non-religious","Mixed",27.5,"Yorkshire and the Humber","Community",598,"Requires Improvement"
"Religious","Mixed",25.6,"Yorkshire and the Humber","Foundation",494,"Requires Improvement"
"Non-religious","Mixed",27.3,"Yorkshire and the Humber","Foundation",877,"Good"
"Non-religious","Mixed",29,"Yorkshire and the Humber","Academy",1311,"Requires Improvement"
"Non-religious","Mixed",27.9,"Yorkshire and the Humber","Academy",1306,"Outstanding"
"Non-religious","Mixed",27.2,"Yorkshire and the Humber","Foundation",877,"Good"
"Non-religious","Mixed",27.4,"Yorkshire and the Humber","Academy",812,"Requires Improvement"
"Religious","Mixed",25.7,"Yorkshire and the Humber","Foundation",970,"Good"
"Religious","Mixed",27,"Yorkshire and the Humber","Voluntary",1248,"Good"
"Non-religious","Mixed",3,"Yorkshire and the Humber","Community",108,"Outstanding"
"Non-religious","Mixed",3,"Yorkshire and the Humber","Community",126,"Good"
"Non-religious","Mixed",NA,"Yorkshire and the Humber","Other",13,"Outstanding"
"Non-religious","Mixed",10.7,"Yorkshire and the Humber","Community",140,"Requires Improvement"
"Non-religious","Mixed",8.6,"Yorkshire and the Humber","Community",75,"Good"
"Non-religious","Mixed",20.7,"Yorkshire and the Humber","Community",62,"Good"
"Non-religious","Mixed",9.6,"Yorkshire and the Humber","Community",168,"Outstanding"
"Religious","Mixed",29.3,"Yorkshire and the Humber","Academy",1404,"Good"
"Non-religious","Mixed",26.6,"Yorkshire and the Humber","Community",1449,"Good"
"Non-religious","Mixed",27.8,"Yorkshire and the Humber","Community",1197,"Good"
"Non-religious","Mixed",28.7,"Yorkshire and the Humber","Community",1344,"Good"
"Religious","Mixed",27.8,"Yorkshire and the Humber","Foundation",1014,"Good"
"Religious","Mixed",27,"Yorkshire and the Humber","Foundation",1251,"Good"
"Non-religious","Mixed",26.4,"Yorkshire and the Humber","Foundation",977,"Requires Improvement"
"Religious","Mixed",27.8,"Yorkshire and the Humber","Voluntary",920,"Good"
"Non-religious","Mixed",26.2,"Yorkshire and the Humber","Community",963,"Good"
"Non-religious","Mixed",25.7,"Yorkshire and the Humber","Foundation",1151,"Good"
"Non-religious","Mixed",22.9,"Yorkshire and the Humber","Academy",991,"Requires Improvement"
"Religious","Mixed",26.3,"Yorkshire and the Humber","Voluntary",961,"Good"
"Non-religious","Mixed",27.2,"Yorkshire and the Humber","Academy",987,"Inadequate"
"Religious","Mixed",25.7,"Yorkshire and the Humber","Academy",1016,"Good"
"Religious","Mixed",27.4,"Yorkshire and the Humber","Academy",1151,"Outstanding"
"Religious","Mixed",28.6,"Yorkshire and the Humber","Academy",1933,"Outstanding"
"Non-religious","Mixed",28.6,"Yorkshire and the Humber","Community",1307,"Good"
"Non-religious","Mixed",28.8,"Yorkshire and the Humber","Academy",1407,"Good"
"Non-religious","Mixed",27.1,"Yorkshire and the Humber","Community",1098,"Good"
"Non-religious","Mixed",25.1,"Yorkshire and the Humber","Academy",602,"Requires Improvement"
"Religious","Mixed",NA,"Yorkshire and the Humber","Academy",25,"Good"
"Non-religious","Mixed",25.3,"Yorkshire and the Humber","Academy",1241,"Good"
"Non-religious","Mixed",27.4,"Yorkshire and the Humber","Academy",1581,"Outstanding"
"Religious","Mixed",26.8,"Yorkshire and the Humber","Voluntary",908,"Requires Improvement"
"Religious","Mixed",29,"Yorkshire and the Humber","Academy",1451,"Good"
"Non-religious","Mixed",27,"Yorkshire and the Humber","Foundation",1067,"Good"
"Non-religious","Mixed",28.3,"Yorkshire and the Humber","Foundation",1199,"Requires Improvement"
"Non-religious","Mixed",26.5,"Yorkshire and the Humber","Foundation",889,"Good"
"Non-religious","Mixed",26.4,"Yorkshire and the Humber","Academy",1437,"Good"
"Non-religious","Mixed",27.5,"Yorkshire and the Humber","Community",1931,"Outstanding"
"Non-religious","Mixed",27.4,"Yorkshire and the Humber","Foundation",1080,"Inadequate"
"Religious","Mixed",29.4,"Yorkshire and the Humber","Academy",1240,"Outstanding"
"Non-religious","Mixed",24.9,"Yorkshire and the Humber","Academy",1047,"Requires Improvement"
"Non-religious","Mixed",25.8,"Yorkshire and the Humber","Academy",884,"Inadequate"
"Religious","Mixed",27.4,"Yorkshire and the Humber","Foundation",1298,"Good"
"Religious","Mixed",28.4,"Yorkshire and the Humber","Foundation",733,"Requires Improvement"
"Non-religious","Mixed",27.4,"Yorkshire and the Humber","Academy",1876,"Good"
"Non-religious","Mixed",15,"Yorkshire and the Humber","Community",162,"Good"
"Non-religious","Mixed",22.1,"Yorkshire and the Humber","Community",99,"Inadequate"
"Non-religious","Mixed",9.3,"Yorkshire and the Humber","Community",203,"Outstanding"
"Non-religious","Mixed",NA,"Yorkshire and the Humber","Academy",29,"Good"
"Non-religious","Mixed",12.9,"Yorkshire and the Humber","Community",184,"Good"
"Non-religious","Mixed",NA,"Yorkshire and the Humber","Other",62,"Good"
"Non-religious","Mixed",6.2,"Yorkshire and the Humber","Community",170,"Outstanding"
"Non-religious","Mixed",9.9,"Yorkshire and the Humber","Community",182,"Good"
"Non-religious","Mixed",26,"Yorkshire and the Humber","Academy",743,"Good"
"Non-religious","Mixed",26.2,"Yorkshire and the Humber","Academy",757,"Requires Improvement"
"Non-religious","Mixed",26.5,"Yorkshire and the Humber","Academy",1271,"Good"
"Religious","Mixed",25.1,"Yorkshire and the Humber","Academy",750,"Requires Improvement"
"Non-religious","Mixed",27.7,"Yorkshire and the Humber","Academy",1003,"Outstanding"
"Non-religious","Mixed",26.7,"Yorkshire and the Humber","Academy",542,"Requires Improvement"
"Religious","Mixed",26.9,"Yorkshire and the Humber","Academy",348,"Requires Improvement"
"Religious","Mixed",26.6,"Yorkshire and the Humber","Academy",818,"Inadequate"
"Non-religious","Mixed",26.9,"Yorkshire and the Humber","Academy",1358,"Requires Improvement"
"Religious","Mixed",28.4,"Yorkshire and the Humber","Academy",1051,"Good"
"Non-religious","Mixed",28.3,"Yorkshire and the Humber","Community",1438,"Good"
"Non-religious","Mixed",27.4,"Yorkshire and the Humber","Academy",1039,"Requires Improvement"
"Non-religious","Mixed",26.7,"Yorkshire and the Humber","Academy",1468,"Good"
"Religious","Mixed",28.6,"Yorkshire and the Humber","Academy",1739,"Good"
"Non-religious","Mixed",28.2,"Yorkshire and the Humber","Academy",2088,"Outstanding"
"Religious","Mixed",27.2,"Yorkshire and the Humber","Academy",699,"Good"
"Religious","Mixed",28,"Yorkshire and the Humber","Academy",1723,"Good"
"Religious","Mixed",26.5,"Yorkshire and the Humber","Academy",655,"Outstanding"
"Non-religious","Mixed",19.8,"Yorkshire and the Humber","Community",45,"Requires Improvement"
"Non-religious","Mixed",11.7,"Yorkshire and the Humber","Foundation",107,"Good"
"Non-religious","Mixed",3,"Yorkshire and the Humber","Community",119,"Outstanding"
"Religious","Mixed",28.5,"North East","Academy",1285,"Outstanding"
"Religious","Mixed",29.7,"North East","Other",1248,"Outstanding"
"Non-religious","Mixed",27.4,"North East","Community",1108,"Good"
"Non-religious","Mixed",27.4,"North East","Academy",1041,"Requires Improvement"
"Non-religious","Mixed",26.8,"North East","Community",549,"Requires Improvement"
"Non-religious","Mixed",28.4,"North East","Academy",1650,"Good"
"Religious","Mixed",29.2,"North East","Academy",1552,"Outstanding"
"Non-religious","Mixed",28.4,"North East","Academy",1590,"Good"
"Non-religious","Mixed",14.7,"North East","Academy",123,"Good"
"Non-religious","Mixed",NA,"North East","Community",49,"Outstanding"
"Non-religious","Mixed",21,"North East","Community",68,"Good"
"Non-religious","Mixed",14,"North East","Community",107,"Good"
"Non-religious","Mixed",27.1,"North East","Community",588,"Good"
"Non-religious","Mixed",24,"North East","Academy",1334,"Good"
"Non-religious","Mixed",28.2,"North East","Academy",1706,"Outstanding"
"Non-religious","Mixed",28.4,"North East","Foundation",1935,"Good"
"Non-religious","Mixed",26.6,"North East","Academy",1894,"Good"
"Religious","Single-sex",27.8,"North East","Academy",1378,"Outstanding"
"Religious","Single-sex",27.9,"North East","Academy",1086,"Good"
"Religious","Mixed",28.8,"North East","Academy",1144,"Outstanding"
"Non-religious","Mixed",27.9,"North East","Community",1712,"Requires Improvement"
"Non-religious","Mixed",27.3,"North East","Community",1084,"Good"
"Non-religious","Mixed",NA,"North East","Other",74,"Outstanding"
"Non-religious","Mixed",6.2,"North East","Foundation",156,"Outstanding"
"Non-religious","Mixed",NA,"North East","Other",22,"Requires Improvement"
"Non-religious","Mixed",NA,"North East","Foundation",158,"Good"
"Non-religious","Mixed",27,"North East","Community",1250,"Good"
"Religious","Mixed",26.4,"North East","Foundation",713,"Outstanding"
"Religious","Mixed",28.5,"North East","Foundation",1096,"Outstanding"
"Religious","Mixed",27.8,"North East","Foundation",777,"Outstanding"
"Non-religious","Mixed",30.2,"North East","Academy",1232,"Good"
"Religious","Mixed",27.9,"North East","Foundation",871,"Good"
"Religious","Mixed",28.3,"North East","Foundation",735,"Good"
"Religious","Mixed",27.6,"North East","Foundation",519,"Requires Improvement"
"Religious","Mixed",26.8,"North East","Foundation",385,"Inadequate"
"Religious","Mixed",29.1,"North East","Academy",1604,"Good"
"Religious","Mixed",28.8,"North East","Foundation",511,"Good"
"Religious","Mixed",29.2,"North East","Foundation",1602,"Outstanding"
"Non-religious","Mixed",5,"North East","Foundation",146,"Outstanding"
"Non-religious","Mixed",NA,"North East","Other",159,"Outstanding"
"Non-religious","Mixed",18.4,"North East","Foundation",57,"Good"
"Non-religious","Mixed",14.6,"North East","Foundation",108,"Good"
"Non-religious","Mixed",16,"North East","Foundation",103,"Requires Improvement"
"Non-religious","Mixed",27.7,"North East","Community",674,"Requires Improvement"
"Non-religious","Mixed",27.1,"North East","Community",1652,"Outstanding"
"Non-religious","Mixed",27.3,"North East","Community",618,"Good"
"Religious","Mixed",26.1,"North East","Foundation",607,"Good"
"Non-religious","Mixed",26.9,"North East","Community",765,"Good"
"Religious","Mixed",27.9,"North East","Academy",1355,"Good"
"Religious","Mixed",28.2,"North East","Voluntary",927,"Outstanding"
"Non-religious","Mixed",26.8,"North East","Community",662,"Good"
"Religious","Mixed",28.6,"North East","Academy",976,"Outstanding"
"Non-religious","Mixed",19,"North East","Community",159,"Good"
"Non-religious","Mixed",14.9,"North East","Foundation",123,"Outstanding"
"Non-religious","Mixed",NA,"North East","Foundation",121,"Good"
"Non-religious","Mixed",22.7,"North East","Community",43,"Good"
"Non-religious","Mixed",24,"North East","Academy",756,"Requires Improvement"
"Non-religious","Mixed",26.6,"North East","Academy",1085,"Good"
"Non-religious","Mixed",28.2,"North East","Academy",711,"Good"
"Non-religious","Mixed",27.4,"North East","Academy",769,"Requires Improvement"
"Religious","Mixed",28.4,"North East","Academy",585,"Inadequate"
"Non-religious","Mixed",27.4,"North East","Community",666,"Good"
"Religious","Mixed",26.8,"North East","Academy",1028,"Requires Improvement"
"Non-religious","Mixed",28.1,"North East","Academy",892,"Good"
"Non-religious","Mixed",27.5,"North East","Academy",1036,"Good"
"Non-religious","Mixed",25.4,"North East","Academy",543,"Requires Improvement"
"Religious","Single-sex",28.2,"North East","Academy",950,"Good"
"Religious","Single-sex",29,"North East","Academy",1287,"Outstanding"
"Religious","Mixed",28.7,"North East","Voluntary",1576,"Good"
"Non-religious","Mixed",27.7,"North East","Academy",1054,"Good"
"Non-religious","Mixed",26.9,"North East","Community",683,"Requires Improvement"
"Religious","Mixed",27,"North East","Academy",726,"Good"
"Non-religious","Mixed",25.9,"North East","Community",504,"Good"
"Non-religious","Mixed",14.2,"North East","Academy",123,"Good"
"Non-religious","Mixed",22,"North East","Academy",68,"Good"
"Non-religious","Mixed",4.6,"North East","Academy",157,"Requires Improvement"
"Non-religious","Mixed",20.3,"North East","Academy",61,"Outstanding"
"Religious","Mixed",26.5,"South West","Voluntary",274,"Requires Improvement"
